"point","drift"
"1000","0.46753783874151017"
"2000","0.4652281224709984"
"3000","0.4500500666650167"
"4000","0.46729888499320166"
"5000","0.481348033050437"
"6000","0.443515872890327"
"7000","0.440058285815899"
"8000","0.46772704367365103"
"9000","0.4353654752234142"
"10000","0.44472085310135867"
"11000","0.45629648024261915"
"12000","0.44827899896535495"
"13000","0.44583271389736984"
"14000","0.45880245581394696"
"15000","0.4653115676703445"
"16000","0.43747914970116386"
"17000","0.44851165384297714"
"18000","0.4691609362800545"
"19000","0.4721331476323404"
"20000","0.4767951954100168"
"21000","0.4952693715050567"
"22000","0.4561141620758918"
"23000","0.4497525899467598"
"24000","0.4475557507660349"
"25000","0.45448938441267095"
"26000","0.45916315303447736"
"27000","0.45517127668942103"
"28000","0.4374227789216301"
"29000","0.4350803698322891"
"30000","0.4395879167420068"
"31000","0.4572244780934128"
"32000","0.44253585601925605"
"33000","0.47217404315454203"
"34000","0.4506164758652115"
"35000","0.4483463487953144"
"36000","0.4655058952093985"
"37000","0.44057532964274404"
"38000","0.45666849459149106"
"39000","0.4675666171482829"
"40000","0.4354544001959496"
"41000","0.4443969362458895"
"42000","0.4372992048218217"
"43000","0.4540510894483658"
"44000","0.4322439057327516"
"45000","0.4397355270230596"
"46000","0.4406391983340437"
"47000","0.4624252717968482"
"48000","0.453823986088228"
"49000","0.4415538685312508"
"50000","0.46070717299541425"
"51000","0.46955380892371695"
"52000","0.43590713379134083"
"53000","0.44962198299533435"
"54000","0.46972167578729485"
"55000","0.4722991939768511"
"56000","0.4722027638129064"
"57000","0.4365745364943124"
"58000","0.4688355023692467"
"59000","0.4624702030774354"
"60000","0.4691962098099609"
"61000","0.44625422230151207"
"62000","0.45149912459539837"
"63000","0.46384591118309215"
"64000","0.46969770227343477"
"65000","0.4690853593383164"
"66000","0.47582403308622034"
"67000","0.46846734508455457"
"68000","0.4770791392981389"
"69000","0.4625058975857722"
"70000","0.44863027172256037"
"71000","0.4390184866280454"
"72000","0.46265759269548645"
"73000","0.4754661011811099"
"74000","0.47073474622223"
"75000","0.44152587562325135"
"76000","0.4448238121368655"
"77000","0.4781388383392987"
"78000","0.4526172040025242"
"79000","0.4608929860553844"
"80000","0.46100533439479047"
"81000","0.45366608205905645"
