"points","all_attributes","x1_x2_x3","x1_x2_x4","x1_x2_x5","x1_x3_x4","x1_x3_x5","x1_x4_x5","x2_x3_x4","x2_x3_x5","x2_x4_x5","x3_x4_x5"
"100000","0.05567000000000005","0.020580000000000015","0.02409000000000001","0.023780000000000016","0.02481000000000001","0.02549000000000003","0.02784","0.025019999999999997","0.024990000000000036","0.029860000000000025","0.030930000000000006"
"200000","0.05600999999999996","0.02187000000000001","0.025070000000000016","0.025180000000000043","0.025060000000000002","0.02413000000000002","0.02961000000000001","0.02659000000000003","0.025980000000000038","0.03183000000000006","0.03374000000000004"
"300000","0.05773000000000008","0.020970000000000037","0.024330000000000004","0.026010000000000033","0.02492999999999999","0.025700000000000018","0.03106000000000003","0.025510000000000015","0.025940000000000046","0.03238000000000003","0.032639999999999995"
"400000","0.05755999999999998","0.02144000000000007","0.026149999999999986","0.028980000000000013","0.024670000000000004","0.025730000000000048","0.029270000000000018","0.025990000000000017","0.02832000000000002","0.03207999999999999","0.034520000000000016"
"500000","0.056499999999999974","0.01981000000000002","0.024930000000000015","0.02811000000000006","0.024439999999999996","0.026150000000000062","0.030570000000000028","0.02565000000000003","0.02783000000000005","0.03231000000000002","0.03305000000000003"
"600000","0.05740000000000002","0.021130000000000055","0.025739999999999996","0.02495000000000002","0.026700000000000012","0.026769999999999988","0.029660000000000054","0.026520000000000005","0.027570000000000032","0.030890000000000056","0.032270000000000035"
"700000","0.05871000000000002","0.020070000000000008","0.02508000000000002","0.02403000000000005","0.02910999999999999","0.025810000000000017","0.02879999999999998","0.026739999999999983","0.026350000000000037","0.03162000000000002","0.033319999999999995"
"800000","0.05670000000000014","0.021570000000000054","0.024680000000000014","0.025010000000000032","0.025890000000000017","0.02579000000000002","0.02881000000000004","0.026199999999999994","0.025410000000000037","0.03098000000000001","0.03322000000000001"
"900000","0.058090000000000065","0.021610000000000056","0.025359999999999987","0.02582000000000004","0.027690000000000038","0.027610000000000027","0.02897000000000005","0.027260000000000006","0.02640000000000004","0.03196000000000006","0.03558000000000003"
"1000000","0.946650000000004","0.8026200000000003","0.7719499999999998","0.7512500000000001","0.74631","0.7324600000000004","0.7076300000000002","0.71951","0.6908500000000002","0.6181099999999998","0.5664799999999999"
"1100000","0.0967100000000007","0.031189999999999968","0.033290000000000035","0.03431","0.03344999999999999","0.037180000000000005","0.03892","0.038059999999999976","0.04085000000000002","0.042570000000000024","0.04260000000000005"
"1200000","0.09647000000000025","0.030649999999999993","0.032839999999999994","0.035710000000000006","0.034560000000000035","0.03601000000000002","0.03686000000000001","0.03670000000000004","0.03990999999999997","0.04175000000000002","0.042170000000000006"
"1300000","0.09482000000000047","0.03286","0.03340000000000003","0.035710000000000006","0.037009999999999994","0.03806999999999998","0.03680000000000005","0.038120000000000015","0.03957000000000001","0.040430000000000056","0.04158000000000004"
"1400000","0.09688000000000077","0.031780000000000024","0.03329000000000001","0.03607","0.03534","0.03829000000000002","0.03846000000000001","0.039500000000000014","0.040990000000000006","0.040850000000000046","0.04297000000000006"
"1500000","0.09779000000000043","0.030110000000000012","0.034099999999999984","0.035099999999999985","0.03561999999999999","0.03584000000000003","0.03665999999999999","0.04079999999999999","0.03905999999999999","0.04302000000000003","0.042470000000000015"
"1600000","0.09595000000000066","0.030360000000000005","0.03295","0.03441000000000001","0.032760000000000004","0.03357","0.03921000000000002","0.03659000000000001","0.040440000000000004","0.04169","0.04191"
"1700000","0.09468000000000039","0.030740000000000014","0.03265000000000002","0.034539999999999994","0.03170000000000001","0.034910000000000024","0.03773000000000003","0.03664000000000001","0.03866000000000006","0.04189000000000001","0.04379000000000003"
"1800000","0.09561000000000065","0.032270000000000014","0.032710000000000024","0.034240000000000013","0.03398000000000001","0.03538999999999999","0.039910000000000036","0.037749999999999985","0.04000999999999997","0.04254999999999997","0.04279000000000003"
