"points","all_attributes","x1_x2_x3","x1_x2_x4","x1_x2_x5","x1_x3_x4","x1_x3_x5","x1_x4_x5","x2_x3_x4","x2_x3_x5","x2_x4_x5","x3_x4_x5"
"133332","0.0013631386313863218","0.011038662889696635","0.015659180054320262","0.01494995413166311","0.014746209176631983","0.01759491971570792","0.019913051293626294","0.019464380595602376","0.01851950275332506","0.022171030900375862","0.023105866117176046"
"266664","0.0014531395313953234","0.011154027332347318","0.017271104836333914","0.01535065545054919","0.016071033956475158","0.01676674275953928","0.02031262855883404","0.01888027620231507","0.0185600595328017","0.024100436980876622","0.02293443130700056"
"399996","0.0012637626376263839","0.01053891351780637","0.016061140380298135","0.016253083320494275","0.015239346541727775","0.015793680540514325","0.01976688508817943","0.017128164742578524","0.0177278802396597","0.02210239250028019","0.02386016945557504"
"533328","0.0011718867188671956","0.00857691442825895","0.014828328653804646","0.01544729181434801","0.014237998879801398","0.015139592939963795","0.018814600167034002","0.015579773469473864","0.018121390990045352","0.021671382284325635","0.023670514816485796"
"666660","0.0012543875438754465","0.010039273593340618","0.01444398040167431","0.014765616858047222","0.014415206918613853","0.014801267477419151","0.018347687073132314","0.016052159293914632","0.018454485481215154","0.020239315030591263","0.02265977446663978"
"799992","0.0012450124501245084","0.011688977470816726","0.013488921519014221","0.015288565579748278","0.014772999128675746","0.015631406508954858","0.017985588798625055","0.017795777704522044","0.01742554454165545","0.02182158098770901","0.021834249510793113"
"933324","0.2636878653447206","0.22610118677258537","0.23549742343226526","0.22038031685384019","0.2235800882185065","0.21478892958089432","0.21060082378018558","0.2205832983805679","0.19715757936752606","0.2110777398922018","0.20079644686828735"
"1066656","0.31607741490397373","0.24556556933290227","0.2361491597694637","0.21767303552954406","0.2270376432857624","0.21427309454619908","0.21407019298432478","0.2376017580231868","0.21289152770028408","0.21683622162777685","0.20376710059391082"
"1199988","0.0","0.015595251349663337","0.01915081373764678","0.021546788667302273","0.02197443645836989","0.022533470393048042","0.024515403308235546","0.027633787826496725","0.030174975036314777","0.03132506312080732","0.031757144973276086"
"1333320","0.0","0.017052290204254736","0.02129152059250368","0.02278047805192035","0.024237550017171157","0.024661533097621206","0.02534705581944122","0.027595096491314846","0.0310457440281245","0.03178322859488663","0.032454674773647677"
"1466652","0.0","0.015391705929360568","0.020009226949607297","0.021592172745128466","0.02322461374218531","0.02402416267082047","0.026675472866670234","0.028054465365961033","0.030201729289812854","0.03164190809685336","0.03207873017929481"
"1599984","0.0","0.01846779001630169","0.019664521006513648","0.021877533597877852","0.023839612999463883","0.0242425565180569","0.027178478020400767","0.028323038648613345","0.031352442455783294","0.032663609998783844","0.03343939138690671"
"1733316","2.062520625206252E-5","0.015880390372933876","0.02081824817655188","0.020996152510130227","0.02183654793480666","0.02280441360432507","0.02389758052480944","0.02809812865301111","0.029077939163178326","0.03109495220390002","0.032151725548277756"
"1866648","1.125011250112501E-5","0.017091090511191703","0.021055565784736555","0.022291096102996927","0.023031261257418847","0.023527492951650738","0.024377305498824147","0.029854848312962545","0.029888484451927485","0.0296814341879432","0.03182653949151057"
