"points","all_attributes","x1_x2","x1_x3","x1_x4","x1_x5","x2_x3","x2_x4","x2_x5","x3_x4","x3_x5","x4_x5"
"100000","0.05567000000000005","0.012340000000000009","0.013149999999999998","0.013029999999999995","0.013529999999999992","0.011220000000000004","0.014739999999999986","0.013879999999999998","0.015729999999999987","0.01517","0.017780000000000008"
"200000","0.05600999999999996","0.013509999999999987","0.014330000000000006","0.015269999999999995","0.013380000000000001","0.014189999999999998","0.017159999999999995","0.014439999999999991","0.017549999999999996","0.015320000000000005","0.019680000000000013"
"300000","0.05773000000000008","0.011810000000000003","0.013219999999999997","0.015509999999999998","0.0142","0.013019999999999997","0.01543","0.015990000000000004","0.016489999999999998","0.0142","0.017740000000000006"
"400000","0.05755999999999998","0.014159999999999987","0.012169999999999999","0.013909999999999992","0.015300000000000001","0.013580000000000002","0.017579999999999995","0.0169","0.015950000000000002","0.015649999999999983","0.01871"
"500000","0.056499999999999974","0.013330000000000005","0.012059999999999996","0.01388","0.015739999999999997","0.012939999999999988","0.016480000000000005","0.017499999999999998","0.01639999999999999","0.016519999999999993","0.018619999999999998"
"600000","0.05740000000000002","0.011440000000000006","0.014770000000000004","0.015390000000000004","0.014729999999999997","0.01408","0.01646000000000001","0.016119999999999992","0.01501000000000001","0.017469999999999996","0.01697999999999999"
"700000","0.05871000000000002","0.010159999999999985","0.014","0.014699999999999993","0.014229999999999987","0.013049999999999992","0.01643","0.013299999999999987","0.018060000000000007","0.016109999999999996","0.017940000000000008"
"800000","0.05670000000000014","0.012949999999999984","0.013139999999999995","0.014889999999999987","0.013659999999999999","0.013219999999999999","0.015159999999999991","0.014830000000000001","0.016549999999999995","0.015409999999999995","0.018120000000000008"
"900000","0.058090000000000065","0.011749999999999995","0.012919999999999982","0.015439999999999995","0.014450000000000018","0.012659999999999998","0.014279999999999992","0.015089999999999992","0.018399999999999993","0.016890000000000002","0.018659999999999996"
"1000000","0.946650000000004","0.7082599999999996","0.6889100000000001","0.6554600000000003","0.6678099999999998","0.61415","0.49969999999999976","0.5130900000000003","0.4403400000000002","0.4562299999999998","0.3827099999999999"
"1100000","0.0967100000000007","0.014369999999999996","0.01754","0.017240000000000005","0.019000000000000003","0.019989999999999994","0.018629999999999994","0.01966","0.01907","0.020490000000000005","0.018150000000000006"
"1200000","0.09647000000000025","0.017319999999999995","0.01743","0.015119999999999998","0.016789999999999996","0.017630000000000003","0.01513999999999999","0.019139999999999994","0.020490000000000005","0.020899999999999985","0.018839999999999985"
"1300000","0.09482000000000047","0.017480000000000002","0.018139999999999996","0.017119999999999986","0.018220000000000007","0.017989999999999992","0.017899999999999996","0.020200000000000003","0.019369999999999995","0.020810000000000002","0.018109999999999998"
"1400000","0.09688000000000077","0.01680999999999999","0.017439999999999997","0.018220000000000004","0.020089999999999997","0.016870000000000003","0.01775","0.019379999999999974","0.02085","0.021069999999999988","0.018979999999999997"
"1500000","0.09779000000000043","0.017199999999999993","0.017019999999999993","0.016049999999999995","0.016419999999999994","0.017040000000000007","0.01851","0.020280000000000006","0.02157000000000001","0.020789999999999993","0.019040000000000005"
"1600000","0.09595000000000066","0.014269999999999996","0.01614000000000001","0.017480000000000006","0.016320000000000008","0.0168","0.01896","0.019650000000000004","0.017859999999999994","0.01696","0.01991"
"1700000","0.09468000000000039","0.018359999999999994","0.016309999999999998","0.016060000000000005","0.01776999999999999","0.01776","0.01746","0.01827000000000001","0.0172","0.018979999999999993","0.019350000000000013"
"1800000","0.09561000000000065","0.014029999999999997","0.01672000000000001","0.016849999999999997","0.017089999999999998","0.016150000000000005","0.01890999999999999","0.017750000000000002","0.018050000000000004","0.021419999999999998","0.02259"
