"points","all_attributes","x1_x2","x1_x3","x1_x4","x1_x5","x2_x3","x2_x4","x2_x5","x3_x4","x3_x5","x4_x5"
"133332","0.0013631386313863218","0.008548226578109747","0.008577272373838943","0.011210855578381093","0.009080417399420712","0.009747770673023631","0.011035403186094259","0.010625007155169964","0.012181025894493056","0.012566715728899785","0.01375379010711496"
"266664","0.0014531395313953234","0.009471761039588066","0.00905094940915913","0.012134037784476031","0.009644104854987002","0.008948919975845897","0.014415849593464272","0.01110988142294842","0.012469769710833448","0.011751327230011951","0.01519572058472908"
"399996","0.0012637626376263839","0.008932734681278049","0.007660172574166197","0.011440213752776679","0.009192156963152625","0.008223384446467655","0.01281617868656897","0.011430611762349054","0.011153908453910542","0.01154737733605777","0.014380723290690877"
"533328","0.0011718867188671956","0.008181482511434537","0.006376380823339216","0.008823580099597945","0.009362913453557983","0.008476588997241744","0.011256782128209446","0.011391706864371407","0.01011509984162441","0.010895854466545339","0.013542917452253942"
"666660","0.0012543875438754465","0.006689559462214597","0.00680477788184461","0.008037756196774132","0.00807279989807249","0.009062132557269089","0.009990115423095825","0.00979811812947089","0.01138377248867422","0.012001999596564589","0.012977402855698423"
"799992","0.0012450124501245084","0.007861793427070463","0.009255688658781186","0.008984790609894601","0.008455116351005935","0.009127485997436856","0.010820991667609171","0.010574187649044543","0.010981677572035069","0.01110645334940199","0.013438004903955521"
"933324","0.2636878653447206","0.19847020018711917","0.1953756614927482","0.18084827886462732","0.15994128368388913","0.1656433269196702","0.17504598040332228","0.15157439638824596","0.15988707722947657","0.15106449851836004","0.1470258723124477"
"1066656","0.31607741490397373","0.1969225548925568","0.18827840406618004","0.17390905886322391","0.15353793191814918","0.17783483573872702","0.17879166297932383","0.15294606530525534","0.158502131534685","0.14808456530292904","0.14533164701246157"
"1199988","0.0","0.009693052008788648","0.011420355275606838","0.010153615910734663","0.009734023410962456","0.013258928339372509","0.01346294447889176","0.014702328435606295","0.015151510777666813","0.015503961955244139","0.013899737884603894"
"1333320","0.0","0.01201520597871552","0.012868480498989747","0.012482249311578547","0.011705163746732519","0.01456848190240983","0.013513550119099835","0.01545604392406221","0.015412503942892371","0.016927812115816714","0.014692275404860535"
"1466652","0.0","0.008679692735501307","0.009951597077636674","0.011922880955306577","0.013174931869591988","0.012397857260569958","0.01329742955904168","0.0157771636457496","0.014150187289053836","0.015499661826263904","0.016729350381618786"
"1599984","0.0","0.00993848335661197","0.013141606492192627","0.012474621061457783","0.012521127033767121","0.013744966232853515","0.014002767375830547","0.017410906098438723","0.015133113978603674","0.0148029190193628","0.01723082195556391"
"1733316","2.062520625206252E-5","0.00941665555820085","0.011798591714109276","0.010824315168766141","0.011286048466469217","0.012340812083598999","0.014660575980047453","0.014926392029988314","0.01639521180629129","0.014874031972308447","0.014387007221743043"
"1866648","1.125011250112501E-5","0.01081022625025018","0.011915810254599778","0.011399989081531291","0.01192506202981335","0.013507807911972536","0.013889046206530581","0.014252385700318901","0.014657840390428344","0.014110497350497592","0.015990285380762578"
