"points","all_attributes","Rcdminutes_Temperature_Humidity_Light","Rcdminutes_Temperature_Humidity_Voltage","Rcdminutes_Temperature_Light_Voltage","Rcdminutes_Humidity_Light_Voltage","Temperature_Humidity_Light_Voltage"
"50000","0.8769999999999987","0.8717799999999993","0.8288999999999983","0.8619600000000006","0.8697199999999986","0.7663200000000007"
"100000","0.9701399999999988","0.9695999999999995","0.9367999999999993","0.9341000000000008","0.9683399999999985","0.8883999999999989"
"150000","0.9032199999999987","0.8785399999999998","0.8226199999999988","0.8745199999999997","0.892459999999999","0.8171999999999996"
"200000","0.9790399999999987","0.9788999999999991","0.9547999999999993","0.9760399999999996","0.9337799999999984","0.9605799999999994"
"250000","0.9495199999999984","0.9460999999999979","0.9224599999999985","0.9210199999999992","0.9359799999999988","0.8572799999999987"
"300000","0.9890199999999996","0.9890199999999985","0.9888199999999991","0.8752799999999992","0.9884199999999996","0.8872999999999991"
"350000","0.8616999999999996","0.8535199999999984","0.8244399999999985","0.836259999999999","0.8049999999999992","0.7305399999999981"
"400000","0.9176599999999984","0.9158399999999982","0.8994599999999976","0.7489999999999977","0.8851799999999989","0.8703399999999978"
"450000","0.8341399999999982","0.8212199999999982","0.75252","0.7980199999999987","0.7997999999999992","0.7455799999999989"
"500000","0.9163599999999967","0.9127999999999966","0.7581999999999987","0.8977199999999984","0.9070999999999989","0.9030399999999977"
"550000","0.9218799999999985","0.9156599999999991","0.8803399999999999","0.8367799999999996","0.8707799999999992","0.9064799999999972"
"600000","0.9443599999999988","0.9389799999999995","0.9379600000000005","0.9091400000000003","0.9177999999999997","0.9058599999999968"
"650000","0.95286","0.9523999999999988","0.9444199999999996","0.9417600000000004","0.8690200000000006","0.9395399999999997"
"700000","0.8424599999999991","0.8310999999999992","0.8306799999999995","0.8190799999999999","0.78728","0.812420000000001"
"750000","0.9279199999999986","0.9151199999999992","0.9242199999999994","0.9152200000000003","0.8869799999999994","0.9020399999999986"
"800000","0.94238","0.9412799999999992","0.9405799999999992","0.9351799999999996","0.9322400000000005","0.7941999999999996"
"850000","0.9496599999999997","0.9480599999999999","0.9460999999999993","0.9317799999999993","0.9354399999999988","0.8566999999999987"
"900000","0.8922799999999976","0.8415999999999997","0.8905199999999995","0.8489999999999994","0.8695599999999991","0.7791599999999987"
"950000","0.9506999999999951","0.9479399999999981","0.9434799999999997","0.8571599999999979","0.9425999999999972","0.9134599999999979"
"1000000","0.9527799999999982","0.9413999999999987","0.9431999999999983","0.9295399999999981","0.9430799999999987","0.9440999999999992"
"1050000","0.9262799999999978","0.9097999999999976","0.9256199999999984","0.8983599999999983","0.8677199999999977","0.8440199999999987"
"1100000","0.9731599999999954","0.9731399999999977","0.9561799999999997","0.8307799999999987","0.9572799999999976","0.8827599999999985"
"1150000","0.896739999999999","0.8903199999999998","0.8070599999999986","0.8793399999999988","0.8872999999999985","0.8580399999999989"
"1200000","0.9455399999999997","0.9424799999999997","0.8770600000000002","0.9248399999999998","0.9304800000000002","0.9390999999999993"
"1250000","0.7985599999999983","0.7712599999999991","0.7814399999999995","0.7484999999999989","0.7702599999999992","0.755719999999999"
"1300000","0.8445799999999998","0.8289399999999986","0.7557599999999997","0.800419999999999","0.8103799999999995","0.7296599999999996"
"1350000","0.8988600000000009","0.8700199999999967","0.8795399999999989","0.8837000000000007","0.8609600000000002","0.7798399999999988"
"1400000","0.963999999999999","0.9593799999999993","0.93822","0.9251799999999999","0.9542000000000007","0.9491799999999984"
"1450000","0.9459599999999988","0.9191799999999989","0.8662199999999993","0.8340199999999993","0.9284000000000006","0.9160600000000001"
"1500000","0.9016400000000013","0.8979799999999982","0.8916799999999999","0.7340599999999979","0.8569600000000004","0.8453799999999995"
"1550000","0.8602999999999985","0.852079999999998","0.7715199999999999","0.7437799999999986","0.8276800000000009","0.8076599999999999"
"1600000","0.6946799999999994","0.6924399999999997","0.6409399999999996","0.6514999999999994","0.6552800000000003","0.6455800000000002"
"1650000","0.9172399999999994","0.9156400000000002","0.9158399999999992","0.8018800000000009","0.9048799999999996","0.8374199999999988"
"1700000","0.9589799999999973","0.9519599999999988","0.8611599999999999","0.9259799999999997","0.9555400000000002","0.9296399999999985"
"1750000","0.8641999999999974","0.8404599999999994","0.7784199999999987","0.7764599999999987","0.8195800000000005","0.7656599999999985"
"1800000","0.8969799999999994","0.8449400000000007","0.8258199999999993","0.84036","0.7977000000000005","0.8350399999999988"
"1850000","0.8859799999999988","0.8602199999999998","0.8142599999999989","0.8031199999999996","0.7705399999999996","0.8460199999999989"
"1900000","0.8005999999999982","0.7907799999999992","0.7627599999999993","0.615739999999999","0.7550999999999992","0.75134"
"1950000","0.7430199999999985","0.743019999999999","0.6182200000000002","0.5156599999999996","0.7038999999999989","0.66196"
"2000000","0.636559999999999","0.6365599999999991","0.39873999999999976","0.5814400000000002","0.6358000000000008","0.5302200000000002"
"2050000","0.32383999999999996","0.32383999999999996","0.20167999999999986","0.31277999999999984","0.3238200000000003","0.2659199999999999"
"2100000","0.47583999999999993","0.4758399999999999","0.33786000000000016","0.4758399999999999","0.47584000000000054","0.30682000000000004"
"2150000","0.5591400000000001","0.5586600000000002","0.42813999999999985","0.5380200000000003","0.5570400000000001","0.45036000000000015"
